authors,AVG_BY_A,numb_of_reviews
['J. R. R. Tolkien'],4.6055615228547557,6772
['George Orwell'],4.5403407667251328,6227
['Jane Austen'],4.4717477003942179,22821
['Kurt Vonnegut'],4.3351393188854477,9560
['John Steinbeck'],4.2863123993558769,6680
['Aldous Huxley'],4.232287099007614,7048
['Charles Dickens'],4.2204391891891895,9624
['Lewis Carroll'],4.1650669510605516,7394
['F. Scott Fitzgerald'],4.1089108910891072,7037
['Stephen King'],4.0568588025022319,6989
['Robert A. Heinlein'],4.0396475770925111,5642
['William Golding'],3.9194453265586966,6147
['Robert Jordan'],2.8981961947121322,5549
